  19 , eos_01_modis_19.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    10113.000000       0.000000
    10124.350000       0.010792
    10135.700000       0.011760
    10147.050000       0.012753
    10158.400000       0.013768
    10169.750000       0.014789
    10181.100000       0.015993
    10192.450000       0.017370
    10203.800000       0.018968
    10215.150000       0.021117
    10226.500000       0.023679
    10237.850000       0.026938
    10249.200000       0.031350
    10260.550000       0.036584
    10271.900000       0.043419
    10283.250000       0.052466
    10294.600000       0.063356
    10305.950000       0.077188
    10317.300000       0.094379
    10328.650000       0.114687
    10340.000000       0.139178
    10351.350000       0.167964
    10362.700000       0.200997
    10374.050000       0.239050
    10385.400000       0.282330
    10396.750000       0.330417
    10408.100000       0.383023
    10419.450000       0.440933
    10430.800000       0.502276
    10442.150000       0.565222
    10453.500000       0.631601
    10464.850000       0.696662
    10476.200000       0.756090
    10487.550000       0.812005
    10498.900000       0.861182
    10510.250000       0.900642
    10521.600000       0.931686
    10532.950000       0.955490
    10544.300000       0.971828
    10555.650000       0.980483
    10567.000000       0.985953
    10578.350000       0.990483
    10589.700000       0.992692
    10601.050000       0.994337
    10612.400000       0.996825
    10623.750000       0.999279
    10635.100000       1.000000
    10646.450000       0.998029
    10657.800000       0.994036
    10669.150000       0.988434
    10680.500000       0.981101
    10691.850000       0.972093
    10703.200000       0.962561
    10714.550000       0.952827
    10725.900000       0.942653
    10737.250000       0.932959
    10748.600000       0.924606
    10759.950000       0.917108
    10771.300000       0.909020
    10782.650000       0.899452
    10794.000000       0.888911
    10805.350000       0.877533
    10816.700000       0.865343
    10828.050000       0.852260
    10839.400000       0.838660
    10850.750000       0.825366
    10862.100000       0.812998
    10873.450000       0.798509
    10884.800000       0.779254
    10896.150000       0.757027
    10907.500000       0.729443
    10918.850000       0.692978
    10930.200000       0.646529
    10941.550000       0.593568
    10952.900000       0.537953
    10964.250000       0.477581
    10975.600000       0.414728
    10986.950000       0.355978
    10998.300000       0.302681
    11009.650000       0.253149
    11021.000000       0.209810
    11032.350000       0.174582
    11043.700000       0.146467
    11055.050000       0.123431
    11066.400000       0.104202
    11077.750000       0.089893
    11089.100000       0.078726
    11100.450000       0.068663
    11111.800000       0.060355
    11123.150000       0.053588
    11134.500000       0.047331
    11145.850000       0.041412
    11157.200000       0.036127
    11168.550000       0.031289
    11179.900000       0.026759
    11191.250000       0.022595
    11202.600000       0.018894
    11213.950000       0.015760
    11225.300000       0.013263
    11236.650000       0.011258
    11248.000000       0.000000
