  33 , eos_01_modis_33.flt
Number of data points:
149
Wavenumber (cm-1)   Filter response
      730.000000       0.000000
      730.250000       0.000000
      730.500000       0.000000
      730.750000       0.010097
      731.000000       0.011950
      731.250000       0.012373
      731.500000       0.013742
      731.750000       0.014325
      732.000000       0.014322
      732.250000       0.014107
      732.500000       0.014312
      732.750000       0.015344
      733.000000       0.017323
      733.250000       0.020148
      733.500000       0.023582
      733.750000       0.027363
      734.000000       0.031324
      734.250000       0.035509
      734.500000       0.040249
      734.750000       0.045879
      735.000000       0.052480
      735.250000       0.060213
      735.500000       0.069279
      735.750000       0.079978
      736.000000       0.092356
      736.250000       0.106503
      736.500000       0.122670
      736.750000       0.141091
      737.000000       0.161627
      737.250000       0.184051
      737.500000       0.208496
      737.750000       0.235433
      738.000000       0.265486
      738.250000       0.299040
      738.500000       0.335927
      738.750000       0.375366
      739.000000       0.416295
      739.250000       0.458608
      739.500000       0.502008
      739.750000       0.545709
      740.000000       0.588410
      740.250000       0.629511
      740.500000       0.669268
      740.750000       0.707181
      741.000000       0.742126
      741.250000       0.772908
      741.500000       0.799357
      741.750000       0.821489
      742.000000       0.839404
      742.250000       0.853118
      742.500000       0.862198
      742.750000       0.866726
      743.000000       0.867640
      743.250000       0.866623
      743.500000       0.865035
      743.750000       0.862745
      744.000000       0.859991
      744.250000       0.857437
      744.500000       0.856148
      744.750000       0.856798
      745.000000       0.859469
      745.250000       0.863789
      745.500000       0.868989
      745.750000       0.874321
      746.000000       0.879412
      746.250000       0.884147
      746.500000       0.888651
      746.750000       0.893175
      747.000000       0.898150
      747.250000       0.903666
      747.500000       0.909463
      747.750000       0.915099
      748.000000       0.920066
      748.250000       0.924174
      748.500000       0.927627
      748.750000       0.930915
      749.000000       0.934617
      749.250000       0.938954
      749.500000       0.943964
      749.750000       0.949480
      750.000000       0.955163
      750.250000       0.960919
      750.500000       0.966733
      750.750000       0.972519
      751.000000       0.978102
      751.250000       0.983242
      751.500000       0.988085
      751.750000       0.992594
      752.000000       0.996415
      752.250000       0.999003
      752.500000       1.000000
      752.750000       0.999307
      753.000000       0.996477
      753.250000       0.990775
      753.500000       0.981518
      753.750000       0.968884
      754.000000       0.952922
      754.250000       0.933355
      754.500000       0.909450
      754.750000       0.880245
      755.000000       0.845310
      755.250000       0.805167
      755.500000       0.761322
      755.750000       0.715677
      756.000000       0.668759
      756.250000       0.620881
      756.500000       0.572597
      756.750000       0.524973
      757.000000       0.479014
      757.250000       0.434639
      757.500000       0.392018
      757.750000       0.351573
      758.000000       0.313819
      758.250000       0.278864
      758.500000       0.246579
      758.750000       0.216910
      759.000000       0.189963
      759.250000       0.165889
      759.500000       0.144830
      759.750000       0.126695
      760.000000       0.111111
      760.250000       0.097479
      760.500000       0.085414
      760.750000       0.074871
      761.000000       0.065721
      761.250000       0.057736
      761.500000       0.050623
      761.750000       0.044331
      762.000000       0.038887
      762.250000       0.034215
      762.500000       0.030174
      762.750000       0.026673
      763.000000       0.023807
      763.250000       0.021531
      763.500000       0.019724
      763.750000       0.018163
      764.000000       0.016720
      764.250000       0.015406
      764.500000       0.014221
      764.750000       0.013134
      765.000000       0.012099
      765.250000       0.011540
      765.500000       0.010951
      765.750000       0.011266
      766.000000       0.010331
      766.250000       0.000000
      766.500000       0.000000
      766.750000       0.000000
      767.000000       0.000000
