  26 , eos_01_modis_26.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
     6960.000000       0.000000
     6965.170000       0.010146
     6970.340000       0.010455
     6975.510000       0.010609
     6980.680000       0.010746
     6985.850000       0.011047
     6991.020000       0.011156
     6996.190000       0.011263
     7001.360000       0.011558
     7006.530000       0.011872
     7011.700000       0.012209
     7016.870000       0.012573
     7022.040000       0.012968
     7027.210000       0.013401
     7032.380000       0.013874
     7037.550000       0.014393
     7042.720000       0.015473
     7047.890000       0.018644
     7053.060000       0.023499
     7058.230000       0.028789
     7063.400000       0.035384
     7068.570000       0.043111
     7073.740000       0.053263
     7078.910000       0.065146
     7084.080000       0.079887
     7089.250000       0.097964
     7094.420000       0.119988
     7099.590000       0.147350
     7104.760000       0.179900
     7109.930000       0.219594
     7115.100000       0.263395
     7120.270000       0.314500
     7125.440000       0.368896
     7130.610000       0.427319
     7135.780000       0.485827
     7140.950000       0.547611
     7146.120000       0.603144
     7151.290000       0.658540
     7156.460000       0.708411
     7161.630000       0.751201
     7166.800000       0.786820
     7171.970000       0.816839
     7177.140000       0.841289
     7182.310000       0.861180
     7187.480000       0.878136
     7192.650000       0.892545
     7197.820000       0.906892
     7202.990000       0.922901
     7208.160000       0.943109
     7213.330000       0.961111
     7218.500000       0.975446
     7223.670000       0.986471
     7228.840000       0.993968
     7234.010000       0.999159
     7239.180000       1.000000
     7244.350000       0.994958
     7249.520000       0.985286
     7254.690000       0.969547
     7259.860000       0.947601
     7265.030000       0.920061
     7270.200000       0.889048
     7275.370000       0.852662
     7280.540000       0.812414
     7285.710000       0.770098
     7290.880000       0.727643
     7296.050000       0.684919
     7301.220000       0.640912
     7306.390000       0.597994
     7311.560000       0.558647
     7316.730000       0.521011
     7321.900000       0.483983
     7327.070000       0.449440
     7332.240000       0.416772
     7337.410000       0.385139
     7342.580000       0.354587
     7347.750000       0.326386
     7352.920000       0.299538
     7358.090000       0.273836
     7363.260000       0.249672
     7368.430000       0.226035
     7373.600000       0.204289
     7378.770000       0.182953
     7383.940000       0.162941
     7389.110000       0.145593
     7394.280000       0.128861
     7399.450000       0.113993
     7404.620000       0.099594
     7409.790000       0.086482
     7414.960000       0.074363
     7420.130000       0.064125
     7425.300000       0.054874
     7430.470000       0.047006
     7435.640000       0.039814
     7440.810000       0.033871
     7445.980000       0.028750
     7451.150000       0.024226
     7456.320000       0.019872
     7461.490000       0.016782
     7466.660000       0.014035
     7471.830000       0.011667
     7477.000000       0.000000
