  32 , eos_01_modis_32.flt
Number of data points:
221
Wavenumber (cm-1)   Filter response
      804.000000       0.000000
      804.250000       0.010038
      804.500000       0.010376
      804.750000       0.011279
      805.000000       0.012606
      805.250000       0.014174
      805.500000       0.015785
      805.750000       0.017573
      806.000000       0.019745
      806.250000       0.022504
      806.500000       0.025886
      806.750000       0.029673
      807.000000       0.033878
      807.250000       0.038582
      807.500000       0.044022
      807.750000       0.050446
      808.000000       0.058050
      808.250000       0.066598
      808.500000       0.075965
      808.750000       0.086300
      809.000000       0.097900
      809.250000       0.111144
      809.500000       0.126415
      809.750000       0.143968
      810.000000       0.163759
      810.250000       0.185704
      810.500000       0.209656
      810.750000       0.235322
      811.000000       0.262403
      811.250000       0.290654
      811.500000       0.320510
      811.750000       0.352248
      812.000000       0.385487
      812.250000       0.419552
      812.500000       0.453493
      812.750000       0.486365
      813.000000       0.517610
      813.250000       0.547930
      813.500000       0.577447
      813.750000       0.606039
      814.000000       0.633292
      814.250000       0.658721
      814.500000       0.681850
      814.750000       0.702409
      815.000000       0.720467
      815.250000       0.736281
      815.500000       0.750214
      815.750000       0.762699
      816.000000       0.774173
      816.250000       0.785034
      816.500000       0.795354
      816.750000       0.804989
      817.000000       0.813742
      817.250000       0.821447
      817.500000       0.827995
      817.750000       0.833275
      818.000000       0.837056
      818.250000       0.839033
      818.500000       0.839418
      818.750000       0.838580
      819.000000       0.837042
      819.250000       0.835348
      819.500000       0.834035
      819.750000       0.833210
      820.000000       0.832495
      820.250000       0.831832
      820.500000       0.831195
      820.750000       0.830695
      821.000000       0.830442
      821.250000       0.830547
      821.500000       0.831074
      821.750000       0.832005
      822.000000       0.833278
      822.250000       0.834802
      822.500000       0.836487
      822.750000       0.838245
      823.000000       0.840024
      823.250000       0.841943
      823.500000       0.844029
      823.750000       0.846213
      824.000000       0.848373
      824.250000       0.850361
      824.500000       0.852030
      824.750000       0.853222
      825.000000       0.853828
      825.250000       0.853943
      825.500000       0.853745
      825.750000       0.853491
      826.000000       0.853447
      826.250000       0.853878
      826.500000       0.854942
      826.750000       0.856560
      827.000000       0.858645
      827.250000       0.861073
      827.500000       0.863757
      827.750000       0.866617
      828.000000       0.869572
      828.250000       0.872570
      828.500000       0.875639
      828.750000       0.878838
      829.000000       0.882232
      829.250000       0.885860
      829.500000       0.889761
      829.750000       0.893978
      830.000000       0.898606
      830.250000       0.903668
      830.500000       0.909068
      830.750000       0.914668
      831.000000       0.920271
      831.250000       0.925681
      831.500000       0.930718
      831.750000       0.935388
      832.000000       0.939785
      832.250000       0.943931
      832.500000       0.947856
      832.750000       0.951570
      833.000000       0.955079
      833.250000       0.958395
      833.500000       0.961544
      833.750000       0.964526
      834.000000       0.967326
      834.250000       0.969927
      834.500000       0.972316
      834.750000       0.974481
      835.000000       0.976404
      835.250000       0.978032
      835.500000       0.979354
      835.750000       0.980420
      836.000000       0.981308
      836.250000       0.982113
      836.500000       0.982928
      836.750000       0.983837
      837.000000       0.984810
      837.250000       0.985796
      837.500000       0.986804
      837.750000       0.987835
      838.000000       0.988897
      838.250000       0.989996
      838.500000       0.991152
      838.750000       0.992469
      839.000000       0.993973
      839.250000       0.995575
      839.500000       0.997143
      839.750000       0.998512
      840.000000       0.999517
      840.250000       1.000000
      840.500000       0.999932
      840.750000       0.999414
      841.000000       0.998506
      841.250000       0.997261
      841.500000       0.995701
      841.750000       0.993847
      842.000000       0.991730
      842.250000       0.989426
      842.500000       0.986954
      842.750000       0.984271
      843.000000       0.981285
      843.250000       0.977824
      843.500000       0.973715
      843.750000       0.968831
      844.000000       0.963612
      844.250000       0.958342
      844.500000       0.952659
      844.750000       0.946101
      845.000000       0.937972
      845.250000       0.927575
      845.500000       0.914225
      845.750000       0.897625
      846.000000       0.877941
      846.250000       0.855431
      846.500000       0.830457
      846.750000       0.803489
      847.000000       0.775001
      847.250000       0.745462
      847.500000       0.714836
      847.750000       0.682554
      848.000000       0.648771
      848.250000       0.613711
      848.500000       0.577998
      848.750000       0.542311
      849.000000       0.507331
      849.250000       0.473280
      849.500000       0.439430
      849.750000       0.405751
      850.000000       0.372437
      850.250000       0.339944
      850.500000       0.308826
      850.750000       0.279639
      851.000000       0.252832
      851.250000       0.228292
      851.500000       0.205790
      851.750000       0.185179
      852.000000       0.166271
      852.250000       0.148906
      852.500000       0.132921
      852.750000       0.118179
      853.000000       0.104823
      853.250000       0.092988
      853.500000       0.082584
      853.750000       0.073495
      854.000000       0.065479
      854.250000       0.058286
      854.500000       0.051674
      854.750000       0.045649
      855.000000       0.040449
      855.250000       0.036043
      855.500000       0.032378
      855.750000       0.029282
      856.000000       0.026563
      856.250000       0.024028
      856.500000       0.021568
      856.750000       0.019327
      857.000000       0.017360
      857.250000       0.015660
      857.500000       0.014186
      857.750000       0.012866
      858.000000       0.011630
      858.250000       0.010658
      858.500000       0.010174
      858.750000       0.000000
      859.000000       0.000000
