   9 , eos_01_modis_09.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    22166.000000       0.000000
    22175.310000       0.011377
    22184.620000       0.015041
    22193.930000       0.019152
    22203.240000       0.024001
    22212.550000       0.029875
    22221.860000       0.036707
    22231.170000       0.043837
    22240.480000       0.051330
    22249.790000       0.060204
    22259.100000       0.071522
    22268.410000       0.086190
    22277.720000       0.103709
    22287.030000       0.124001
    22296.340000       0.147764
    22305.650000       0.175867
    22314.960000       0.209185
    22324.270000       0.248612
    22333.580000       0.294247
    22342.890000       0.344474
    22352.200000       0.396894
    22361.510000       0.449109
    22370.820000       0.499915
    22380.130000       0.550968
    22389.440000       0.602461
    22398.750000       0.652805
    22408.060000       0.700285
    22417.370000       0.743367
    22426.680000       0.782661
    22435.990000       0.818830
    22445.300000       0.851730
    22454.610000       0.881032
    22463.920000       0.906407
    22473.230000       0.927363
    22482.540000       0.943681
    22491.850000       0.956005
    22501.160000       0.965454
    22510.470000       0.973155
    22519.780000       0.979874
    22529.090000       0.984940
    22538.400000       0.988187
    22547.710000       0.990176
    22557.020000       0.991553
    22566.330000       0.992959
    22575.640000       0.994354
    22584.950000       0.995252
    22594.260000       0.995673
    22603.570000       0.995822
    22612.880000       0.995906
    22622.190000       0.996182
    22631.500000       0.997049
    22640.810000       0.998469
    22650.120000       0.999721
    22659.430000       1.000000
    22668.740000       0.998532
    22678.050000       0.995892
    22687.360000       0.992644
    22696.670000       0.988013
    22705.980000       0.980601
    22715.290000       0.969013
    22724.600000       0.951893
    22733.910000       0.928627
    22743.220000       0.899513
    22752.530000       0.866573
    22761.840000       0.832118
    22771.150000       0.798440
    22780.460000       0.766041
    22789.770000       0.734293
    22799.080000       0.703162
    22808.390000       0.672996
    22817.700000       0.644146
    22827.010000       0.616977
    22836.320000       0.591574
    22845.630000       0.567658
    22854.940000       0.544187
    22864.250000       0.519813
    22873.560000       0.493183
    22882.870000       0.463244
    22892.180000       0.430073
    22901.490000       0.394307
    22910.800000       0.357434
    22920.110000       0.320997
    22929.420000       0.286515
    22938.730000       0.254138
    22948.040000       0.223104
    22957.350000       0.193354
    22966.660000       0.165547
    22975.970000       0.140347
    22985.280000       0.118305
    22994.590000       0.099290
    23003.900000       0.083002
    23013.210000       0.069020
    23022.520000       0.056906
    23031.830000       0.046223
    23041.140000       0.036882
    23050.450000       0.029365
    23059.760000       0.023592
    23069.070000       0.019032
    23078.380000       0.015112
    23087.690000       0.011298
    23097.000000       0.000000
