  13 , eos_01_modis_13.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    14811.000000       0.000000
    14815.370000       0.017281
    14819.740000       0.029898
    14824.110000       0.043059
    14828.480000       0.056874
    14832.850000       0.071452
    14837.220000       0.086902
    14841.590000       0.103335
    14845.960000       0.120860
    14850.330000       0.139588
    14854.700000       0.159626
    14859.070000       0.180986
    14863.440000       0.203550
    14867.810000       0.227238
    14872.180000       0.251975
    14876.550000       0.277684
    14880.920000       0.304290
    14885.290000       0.331716
    14889.660000       0.359886
    14894.030000       0.388725
    14898.400000       0.418156
    14902.770000       0.449084
    14907.140000       0.482673
    14911.510000       0.518232
    14915.880000       0.554970
    14920.250000       0.592097
    14924.620000       0.628822
    14928.990000       0.664356
    14933.360000       0.697908
    14937.730000       0.728687
    14942.100000       0.755904
    14946.470000       0.779120
    14950.840000       0.799154
    14955.210000       0.816520
    14959.580000       0.831643
    14963.950000       0.844945
    14968.320000       0.856850
    14972.690000       0.867784
    14977.060000       0.878168
    14981.430000       0.888428
    14985.800000       0.898987
    14990.170000       0.910219
    14994.540000       0.921991
    14998.910000       0.933971
    15003.280000       0.945843
    15007.650000       0.957292
    15012.020000       0.968003
    15016.390000       0.977660
    15020.760000       0.985948
    15025.130000       0.992551
    15029.500000       0.997153
    15033.870000       0.999450
    15038.240000       1.000000
    15042.610000       0.999518
    15046.980000       0.997807
    15051.350000       0.994644
    15055.720000       0.989806
    15060.090000       0.983067
    15064.460000       0.974205
    15068.830000       0.962995
    15073.200000       0.949213
    15077.570000       0.932635
    15081.940000       0.912892
    15086.310000       0.889458
    15090.680000       0.862715
    15095.050000       0.833185
    15099.420000       0.801392
    15103.790000       0.767860
    15108.160000       0.733111
    15112.530000       0.697670
    15116.900000       0.662058
    15121.270000       0.626801
    15125.640000       0.592311
    15130.010000       0.556767
    15134.380000       0.519262
    15138.750000       0.480415
    15143.120000       0.440862
    15147.490000       0.401238
    15151.860000       0.362178
    15156.230000       0.324315
    15160.600000       0.288286
    15164.970000       0.254725
    15169.340000       0.224266
    15173.710000       0.197101
    15178.080000       0.172250
    15182.450000       0.149442
    15186.820000       0.128520
    15191.190000       0.109332
    15195.560000       0.091720
    15199.930000       0.075531
    15204.300000       0.060609
    15208.670000       0.046799
    15213.040000       0.033946
    15217.410000       0.022001
    15221.780000       0.012599
    15226.150000       0.006457
    15230.520000       0.003224
    15234.890000       0.002538
    15239.260000       0.004039
    15243.630000       0.007367
    15248.000000       0.000000
