  10 , eos_01_modis_10.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    20177.000000       0.000000
    20184.770000       0.009035
    20192.540000       0.010785
    20200.310000       0.018072
    20208.080000       0.024896
    20215.850000       0.032046
    20223.620000       0.042005
    20231.390000       0.057258
    20239.160000       0.080125
    20246.930000       0.110502
    20254.700000       0.146908
    20262.470000       0.188121
    20270.240000       0.232921
    20278.010000       0.280120
    20285.780000       0.331209
    20293.550000       0.387764
    20301.320000       0.447027
    20309.090000       0.506039
    20316.860000       0.561838
    20324.630000       0.612743
    20332.400000       0.661556
    20340.170000       0.708212
    20347.940000       0.751865
    20355.710000       0.791671
    20363.480000       0.826863
    20371.250000       0.857554
    20379.020000       0.884272
    20386.790000       0.907509
    20394.560000       0.927753
    20402.330000       0.945480
    20410.100000       0.960350
    20417.870000       0.971933
    20425.640000       0.980833
    20433.410000       0.987698
    20441.180000       0.993174
    20448.950000       0.997480
    20456.720000       0.999624
    20464.490000       1.000000
    20472.260000       0.999311
    20480.030000       0.998259
    20487.800000       0.997505
    20495.570000       0.996842
    20503.340000       0.995880
    20511.110000       0.994631
    20518.880000       0.993113
    20526.650000       0.991345
    20534.420000       0.989321
    20542.190000       0.987025
    20549.960000       0.984442
    20557.730000       0.981552
    20565.500000       0.978335
    20573.270000       0.974793
    20581.040000       0.971019
    20588.810000       0.966976
    20596.580000       0.962589
    20604.350000       0.957783
    20612.120000       0.952488
    20619.890000       0.947238
    20627.660000       0.942460
    20635.430000       0.937245
    20643.200000       0.930610
    20650.970000       0.921566
    20658.740000       0.909450
    20666.510000       0.895614
    20674.280000       0.879960
    20682.050000       0.861603
    20689.820000       0.839661
    20697.590000       0.813249
    20705.360000       0.781182
    20713.130000       0.743302
    20720.900000       0.701393
    20728.670000       0.657361
    20736.440000       0.613112
    20744.210000       0.569853
    20751.980000       0.525041
    20759.750000       0.478973
    20767.520000       0.433230
    20775.290000       0.389395
    20783.060000       0.349043
    20790.830000       0.312498
    20798.600000       0.278523
    20806.370000       0.246952
    20814.140000       0.217716
    20821.910000       0.190745
    20829.680000       0.165996
    20837.450000       0.143735
    20845.220000       0.123922
    20852.990000       0.106243
    20860.760000       0.090383
    20868.530000       0.076028
    20876.300000       0.063151
    20884.070000       0.052268
    20891.840000       0.043132
    20899.610000       0.035372
    20907.380000       0.028615
    20915.150000       0.022518
    20922.920000       0.017499
    20930.690000       0.013985
    20938.460000       0.011719
    20946.230000       0.010427
    20954.000000       0.000000
