  18 , eos_01_modis_18.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    10540.000000       0.000000
    10543.040000       0.011184
    10546.080000       0.014202
    10549.120000       0.018573
    10552.160000       0.023335
    10555.200000       0.029256
    10558.240000       0.037432
    10561.280000       0.047969
    10564.320000       0.060724
    10567.360000       0.075991
    10570.400000       0.094060
    10573.440000       0.114875
    10576.480000       0.138228
    10579.520000       0.163714
    10582.560000       0.191191
    10585.600000       0.220787
    10588.640000       0.252141
    10591.680000       0.284741
    10594.720000       0.318647
    10597.760000       0.354004
    10600.800000       0.390321
    10603.840000       0.427198
    10606.880000       0.464848
    10609.920000       0.502952
    10612.960000       0.540795
    10616.000000       0.578200
    10619.040000       0.615560
    10622.080000       0.652414
    10625.120000       0.688051
    10628.160000       0.722571
    10631.200000       0.755959
    10634.240000       0.787480
    10637.280000       0.816423
    10640.320000       0.843010
    10643.360000       0.867331
    10646.400000       0.889214
    10649.440000       0.908441
    10652.480000       0.924976
    10655.520000       0.939216
    10658.560000       0.951643
    10661.600000       0.962290
    10664.640000       0.970942
    10667.680000       0.977978
    10670.720000       0.983860
    10673.760000       0.988451
    10676.800000       0.991714
    10679.840000       0.994142
    10682.880000       0.996259
    10685.920000       0.998116
    10688.960000       0.999459
    10692.000000       1.000000
    10695.040000       0.999712
    10698.080000       0.998831
    10701.120000       0.996929
    10704.160000       0.993245
    10707.200000       0.987492
    10710.240000       0.980039
    10713.280000       0.970610
    10716.320000       0.958655
    10719.360000       0.943987
    10722.400000       0.926646
    10725.440000       0.906705
    10728.480000       0.884201
    10731.520000       0.858985
    10734.560000       0.831079
    10737.600000       0.801300
    10740.640000       0.770300
    10743.680000       0.737891
    10746.720000       0.704273
    10749.760000       0.670185
    10752.800000       0.635966
    10755.840000       0.601293
    10758.880000       0.566345
    10761.920000       0.531530
    10764.960000       0.496907
    10768.000000       0.462364
    10771.040000       0.428155
    10774.080000       0.394573
    10777.120000       0.361385
    10780.160000       0.328632
    10783.200000       0.296882
    10786.240000       0.266653
    10789.280000       0.237730
    10792.320000       0.210123
    10795.360000       0.184238
    10798.400000       0.160435
    10801.440000       0.138633
    10804.480000       0.118648
    10807.520000       0.100450
    10810.560000       0.084076
    10813.600000       0.069647
    10816.640000       0.057079
    10819.680000       0.046236
    10822.720000       0.037225
    10825.760000       0.030177
    10828.800000       0.024563
    10831.840000       0.019645
    10834.880000       0.015424
    10837.920000       0.012403
    10840.960000       0.011363
    10844.000000       0.000000
