36 , eos_01_modis_36.flt    shift of 1.00cm-1 applied
Number of data points:
141
Wavenumber (cm-1)   Filter response
      689.000000       0.000000
      689.250000       0.010377
      689.500000       0.011112
      689.750000       0.011684
      690.000000       0.011148
      690.250000       0.011173
      690.500000       0.011347
      690.750000       0.012176
      691.000000       0.013404
      691.250000       0.017605
      691.500000       0.022927
      691.750000       0.028670
      692.000000       0.033807
      692.250000       0.037702
      692.500000       0.040723
      692.750000       0.044297
      693.000000       0.050087
      693.250000       0.058455
      693.500000       0.069080
      693.750000       0.081328
      694.000000       0.095148
      694.250000       0.110680
      694.500000       0.128545
      694.750000       0.149230
      695.000000       0.172856
      695.250000       0.199401
      695.500000       0.228078
      695.750000       0.257482
      696.000000       0.286365
      696.250000       0.314315
      696.500000       0.341158
      696.750000       0.366869
      697.000000       0.391857
      697.250000       0.416469
      697.500000       0.440301
      697.750000       0.462780
      698.000000       0.483960
      698.250000       0.503918
      698.500000       0.521931
      698.750000       0.536263
      699.000000       0.545086
      699.250000       0.548382
      699.500000       0.548506
      699.750000       0.548658
      700.000000       0.550156
      700.250000       0.552830
      700.500000       0.556418
      700.750000       0.561272
      701.000000       0.567846
      701.250000       0.576610
      701.500000       0.587650
      701.750000       0.600916
      702.000000       0.616181
      702.250000       0.633265
      702.500000       0.651684
      702.750000       0.670848
      703.000000       0.690659
      703.250000       0.710961
      703.500000       0.731620
      703.750000       0.752492
      704.000000       0.773808
      704.250000       0.794993
      704.500000       0.814961
      704.750000       0.832736
      705.000000       0.848151
      705.250000       0.861803
      705.500000       0.874354
      705.750000       0.886399
      706.000000       0.897921
      706.250000       0.908961
      706.500000       0.919606
      706.750000       0.929204
      707.000000       0.937064
      707.250000       0.943346
      707.500000       0.949153
      707.750000       0.956981
      708.000000       0.968639
      708.250000       0.982656
      708.500000       0.994637
      708.750000       1.000000
      709.000000       0.997426
      709.250000       0.987372
      709.500000       0.970887
      709.750000       0.947684
      710.000000       0.916502
      710.250000       0.877946
      710.500000       0.834867
      710.750000       0.791418
      711.000000       0.749858
      711.250000       0.710184
      711.500000       0.670945
      711.750000       0.630184
      712.000000       0.586981
      712.250000       0.541724
      712.500000       0.496105
      712.750000       0.451917
      713.000000       0.409368
      713.250000       0.368597
      713.500000       0.330045
      713.750000       0.294122
      714.000000       0.260767
      714.250000       0.229993
      714.500000       0.201909
      714.750000       0.176708
      715.000000       0.154543
      715.250000       0.135348
      715.500000       0.118686
      715.750000       0.103954
      716.000000       0.090976
      716.250000       0.079587
      716.500000       0.069585
      716.750000       0.060756
      717.000000       0.053199
      717.250000       0.046984
      717.500000       0.041985
      717.750000       0.037881
      718.000000       0.034473
      718.250000       0.031600
      718.500000       0.029095
      718.750000       0.026675
      719.000000       0.024199
      719.250000       0.021703
      719.500000       0.019254
      719.750000       0.017057
      720.000000       0.015297
      720.250000       0.014037
      720.500000       0.013101
      720.750000       0.012115
      721.000000       0.011682
      721.250000       0.012681
      721.500000       0.012097
      721.750000       0.014022
      722.000000       0.013759
      722.250000       0.013352
      722.500000       0.012789
      722.750000       0.012039
      723.000000       0.011143
      723.250000       0.010141
      723.500000       0.000000
      723.750000       0.000000
      724.000000       0.000000
