  16 , eos_01_modis_16.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    11340.000000       0.000000
    11344.120000       0.010728
    11348.240000       0.012111
    11352.360000       0.013815
    11356.480000       0.015729
    11360.600000       0.018135
    11364.720000       0.021056
    11368.840000       0.024548
    11372.960000       0.029201
    11377.080000       0.035312
    11381.200000       0.042847
    11385.320000       0.052834
    11389.440000       0.066156
    11393.560000       0.082861
    11397.680000       0.104298
    11401.800000       0.132544
    11405.920000       0.168010
    11410.040000       0.209219
    11414.160000       0.253328
    11418.280000       0.299917
    11422.400000       0.347629
    11426.520000       0.393412
    11430.640000       0.436581
    11434.760000       0.477528
    11438.880000       0.516540
    11443.000000       0.553872
    11447.120000       0.589661
    11451.240000       0.624230
    11455.360000       0.657901
    11459.480000       0.690708
    11463.600000       0.722635
    11467.720000       0.754084
    11471.840000       0.785190
    11475.960000       0.815057
    11480.080000       0.842625
    11484.200000       0.867883
    11488.320000       0.890510
    11492.440000       0.909962
    11496.560000       0.925979
    11500.680000       0.939410
    11504.800000       0.951147
    11508.920000       0.960953
    11513.040000       0.968636
    11517.160000       0.974755
    11521.280000       0.979550
    11525.400000       0.982983
    11529.520000       0.985469
    11533.640000       0.987707
    11537.760000       0.989913
    11541.880000       0.992099
    11546.000000       0.994381
    11550.120000       0.996842
    11554.240000       0.999035
    11558.360000       1.000000
    11562.480000       0.999602
    11566.600000       0.997621
    11570.720000       0.993393
    11574.840000       0.986638
    11578.960000       0.977434
    11583.080000       0.965661
    11587.200000       0.951201
    11591.320000       0.934256
    11595.440000       0.914883
    11599.560000       0.892805
    11603.680000       0.867700
    11607.800000       0.839477
    11611.920000       0.808481
    11616.040000       0.774891
    11620.160000       0.738909
    11624.280000       0.701166
    11628.400000       0.661941
    11632.520000       0.621310
    11636.640000       0.580073
    11640.760000       0.539061
    11644.880000       0.498066
    11649.000000       0.457516
    11653.120000       0.418257
    11657.240000       0.380351
    11661.360000       0.343831
    11665.480000       0.309034
    11669.600000       0.275928
    11673.720000       0.244531
    11677.840000       0.215203
    11681.960000       0.188294
    11686.080000       0.163794
    11690.200000       0.141625
    11694.320000       0.121700
    11698.440000       0.103969
    11702.560000       0.088206
    11706.680000       0.074150
    11710.800000       0.061878
    11714.920000       0.051489
    11719.040000       0.042711
    11723.160000       0.035292
    11727.280000       0.029188
    11731.400000       0.024133
    11735.520000       0.019783
    11739.640000       0.016256
    11743.760000       0.013383
    11747.880000       0.011012
    11752.000000       0.000000
