  14 , eos_01_modis_14.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    14534.000000       0.000000
    14538.990000       0.010655
    14543.980000       0.012228
    14548.970000       0.014939
    14553.960000       0.018799
    14558.950000       0.022788
    14563.940000       0.027478
    14568.930000       0.034127
    14573.920000       0.043872
    14578.910000       0.056190
    14583.900000       0.070976
    14588.890000       0.089415
    14593.880000       0.112750
    14598.870000       0.142122
    14603.860000       0.177206
    14608.850000       0.215698
    14613.840000       0.255079
    14618.830000       0.293972
    14623.820000       0.333886
    14628.810000       0.374152
    14633.800000       0.413287
    14638.790000       0.450059
    14643.780000       0.484766
    14648.770000       0.518070
    14653.760000       0.550662
    14658.750000       0.583214
    14663.740000       0.615936
    14668.730000       0.648408
    14673.720000       0.680439
    14678.710000       0.711872
    14683.700000       0.743031
    14688.690000       0.774371
    14693.680000       0.804945
    14698.670000       0.833587
    14703.660000       0.859364
    14708.650000       0.882730
    14713.640000       0.903972
    14718.630000       0.922796
    14723.620000       0.938885
    14728.610000       0.951639
    14733.600000       0.961275
    14738.590000       0.968752
    14743.580000       0.975050
    14748.570000       0.980505
    14753.560000       0.984412
    14758.550000       0.987147
    14763.540000       0.989368
    14768.530000       0.991725
    14773.520000       0.994507
    14778.510000       0.997216
    14783.500000       0.999242
    14788.490000       1.000000
    14793.480000       0.999768
    14798.470000       0.998985
    14803.460000       0.996538
    14808.450000       0.991125
    14813.440000       0.981931
    14818.430000       0.969640
    14823.420000       0.954485
    14828.410000       0.936391
    14833.400000       0.915243
    14838.390000       0.890521
    14843.380000       0.862342
    14848.370000       0.831737
    14853.360000       0.799782
    14858.350000       0.766856
    14863.340000       0.732259
    14868.330000       0.696354
    14873.320000       0.659796
    14878.310000       0.623100
    14883.300000       0.585851
    14888.290000       0.548051
    14893.280000       0.510209
    14898.270000       0.472820
    14903.260000       0.435617
    14908.250000       0.398354
    14913.240000       0.361660
    14918.230000       0.326231
    14923.220000       0.292461
    14928.210000       0.259655
    14933.200000       0.228131
    14938.190000       0.198738
    14943.180000       0.172307
    14948.170000       0.149047
    14953.160000       0.128455
    14958.150000       0.110169
    14963.140000       0.093854
    14968.130000       0.079387
    14973.120000       0.067255
    14978.110000       0.057194
    14983.100000       0.048623
    14988.090000       0.040993
    14993.080000       0.034443
    14998.070000       0.029209
    15003.060000       0.024929
    15008.050000       0.021186
    15013.040000       0.017709
    15018.030000       0.014816
    15023.020000       0.012581
    15028.010000       0.010841
    15033.000000       0.000000
