  17 , eos_01_modis_17.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    10655.000000       0.000000
    10663.410000       0.011525
    10671.820000       0.013537
    10680.230000       0.015645
    10688.640000       0.018173
    10697.050000       0.021325
    10705.460000       0.024748
    10713.870000       0.028663
    10722.280000       0.033419
    10730.690000       0.039200
    10739.100000       0.045133
    10747.510000       0.052025
    10755.920000       0.061163
    10764.330000       0.073554
    10772.740000       0.086844
    10781.150000       0.102457
    10789.560000       0.123574
    10797.970000       0.153304
    10806.380000       0.191448
    10814.790000       0.236609
    10823.200000       0.288537
    10831.610000       0.346997
    10840.020000       0.415676
    10848.430000       0.494101
    10856.840000       0.574730
    10865.250000       0.649954
    10873.660000       0.717238
    10882.070000       0.782265
    10890.480000       0.841904
    10898.890000       0.892508
    10907.300000       0.930754
    10915.710000       0.957085
    10924.120000       0.974537
    10932.530000       0.986220
    10940.940000       0.994855
    10949.350000       0.997277
    10957.760000       0.994422
    10966.170000       0.989820
    10974.580000       0.986985
    10982.990000       0.986168
    10991.400000       0.985559
    10999.810000       0.985340
    11008.220000       0.985709
    11016.630000       0.986930
    11025.040000       0.989035
    11033.450000       0.991530
    11041.860000       0.993895
    11050.270000       0.995694
    11058.680000       0.997334
    11067.090000       0.998780
    11075.500000       0.999760
    11083.910000       1.000000
    11092.320000       0.999297
    11100.730000       0.997830
    11109.140000       0.995915
    11117.550000       0.993874
    11125.960000       0.992170
    11134.370000       0.991160
    11142.780000       0.989896
    11151.190000       0.987307
    11159.600000       0.982416
    11168.010000       0.977090
    11176.420000       0.970917
    11184.830000       0.961353
    11193.240000       0.945855
    11201.650000       0.922918
    11210.060000       0.894188
    11218.470000       0.860124
    11226.880000       0.821035
    11235.290000       0.777085
    11243.700000       0.725685
    11252.110000       0.668254
    11260.520000       0.608549
    11268.930000       0.550326
    11277.340000       0.494987
    11285.750000       0.439011
    11294.160000       0.384183
    11302.570000       0.332749
    11310.980000       0.286900
    11319.390000       0.246307
    11327.800000       0.209878
    11336.210000       0.177421
    11344.620000       0.148743
    11353.030000       0.123956
    11361.440000       0.103849
    11369.850000       0.087510
    11378.260000       0.073798
    11386.670000       0.061575
    11395.080000       0.051089
    11403.490000       0.042967
    11411.900000       0.036538
    11420.310000       0.031113
    11428.720000       0.026114
    11437.130000       0.022184
    11445.540000       0.019275
    11453.950000       0.016945
    11462.360000       0.014749
    11470.770000       0.012556
    11479.180000       0.011029
    11487.590000       0.010376
    11496.000000       0.000000
