  15 , eos_01_modis_15.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    13207.000000       0.000000
    13210.850000       0.010781
    13214.700000       0.012805
    13218.550000       0.015252
    13222.400000       0.018315
    13226.250000       0.021959
    13230.100000       0.026081
    13233.950000       0.030736
    13237.800000       0.036345
    13241.650000       0.043442
    13245.500000       0.051728
    13249.350000       0.061459
    13253.200000       0.073134
    13257.050000       0.087939
    13260.900000       0.106601
    13264.750000       0.128955
    13268.600000       0.155112
    13272.450000       0.184833
    13276.300000       0.217834
    13280.150000       0.254714
    13284.000000       0.295137
    13287.850000       0.338232
    13291.700000       0.381783
    13295.550000       0.423848
    13299.400000       0.464725
    13303.250000       0.504112
    13307.100000       0.541991
    13310.950000       0.577928
    13314.800000       0.611798
    13318.650000       0.643967
    13322.500000       0.674606
    13326.350000       0.704072
    13330.200000       0.732838
    13334.050000       0.761094
    13337.900000       0.788779
    13341.750000       0.815599
    13345.600000       0.841213
    13349.450000       0.865542
    13353.300000       0.888795
    13357.150000       0.910776
    13361.000000       0.931044
    13364.850000       0.948853
    13368.700000       0.963845
    13372.550000       0.975986
    13376.400000       0.985537
    13380.250000       0.992726
    13384.100000       0.997611
    13387.950000       0.999963
    13391.800000       1.000000
    13395.650000       0.998112
    13399.500000       0.994875
    13403.350000       0.990761
    13407.200000       0.985797
    13411.050000       0.979745
    13414.900000       0.972044
    13418.750000       0.962056
    13422.600000       0.949729
    13426.450000       0.934950
    13430.300000       0.917512
    13434.150000       0.897247
    13438.000000       0.873978
    13441.850000       0.847749
    13445.700000       0.818864
    13449.550000       0.787734
    13453.400000       0.755210
    13457.250000       0.721703
    13461.100000       0.686986
    13464.950000       0.651340
    13468.800000       0.615156
    13472.650000       0.579124
    13476.500000       0.543227
    13480.350000       0.507257
    13484.200000       0.471356
    13488.050000       0.435950
    13491.900000       0.401505
    13495.750000       0.367845
    13499.600000       0.335068
    13503.450000       0.303327
    13507.300000       0.273031
    13511.150000       0.244413
    13515.000000       0.217247
    13518.850000       0.191599
    13522.700000       0.167591
    13526.550000       0.145479
    13530.400000       0.125482
    13534.250000       0.107620
    13538.100000       0.091781
    13541.950000       0.077769
    13545.800000       0.065390
    13549.650000       0.054758
    13553.500000       0.045875
    13557.350000       0.038557
    13561.200000       0.032413
    13565.050000       0.027069
    13568.900000       0.022705
    13572.750000       0.019252
    13576.600000       0.016606
    13580.450000       0.014359
    13584.300000       0.012261
    13588.150000       0.010663
    13592.000000       0.000000
