  12 , eos_01_modis_12.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    17977.000000       0.000000
    17983.370000       0.010301
    17989.740000       0.012851
    17996.110000       0.015838
    18002.480000       0.020051
    18008.850000       0.026358
    18015.220000       0.035441
    18021.590000       0.046875
    18027.960000       0.060501
    18034.330000       0.077057
    18040.700000       0.097334
    18047.070000       0.122073
    18053.440000       0.151475
    18059.810000       0.185052
    18066.180000       0.221524
    18072.550000       0.259574
    18078.920000       0.297994
    18085.290000       0.337310
    18091.660000       0.378278
    18098.030000       0.420015
    18104.400000       0.461405
    18110.770000       0.501376
    18117.140000       0.540150
    18123.510000       0.578345
    18129.880000       0.615647
    18136.250000       0.651596
    18142.620000       0.685740
    18148.990000       0.718174
    18155.360000       0.749282
    18161.730000       0.778913
    18168.100000       0.806807
    18174.470000       0.832705
    18180.840000       0.856431
    18187.210000       0.878091
    18193.580000       0.897772
    18199.950000       0.915462
    18206.320000       0.931152
    18212.690000       0.944729
    18219.060000       0.955940
    18225.430000       0.965040
    18231.800000       0.972521
    18238.170000       0.978877
    18244.540000       0.984522
    18250.910000       0.989189
    18257.280000       0.992678
    18263.650000       0.995225
    18270.020000       0.997110
    18276.390000       0.998596
    18282.760000       0.999634
    18289.130000       1.000000
    18295.500000       0.999759
    18301.870000       0.999027
    18308.240000       0.997920
    18314.610000       0.996663
    18320.980000       0.995498
    18327.350000       0.994118
    18333.720000       0.992038
    18340.090000       0.988770
    18346.460000       0.984237
    18352.830000       0.979444
    18359.200000       0.974038
    18365.570000       0.966390
    18371.940000       0.954852
    18378.310000       0.937927
    18384.680000       0.915496
    18391.050000       0.888301
    18397.420000       0.857416
    18403.790000       0.823921
    18410.160000       0.788876
    18416.530000       0.752208
    18422.900000       0.712863
    18429.270000       0.671537
    18435.640000       0.629534
    18442.010000       0.588155
    18448.380000       0.548058
    18454.750000       0.508204
    18461.120000       0.468517
    18467.490000       0.429644
    18473.860000       0.392241
    18480.230000       0.356894
    18486.600000       0.323388
    18492.970000       0.291444
    18499.340000       0.261124
    18505.710000       0.232527
    18512.080000       0.205755
    18518.450000       0.180833
    18524.820000       0.157603
    18531.190000       0.136046
    18537.560000       0.116220
    18543.930000       0.098181
    18550.300000       0.082051
    18556.670000       0.067981
    18563.040000       0.055770
    18569.410000       0.045136
    18575.780000       0.035796
    18582.150000       0.027495
    18588.520000       0.020569
    18594.890000       0.015609
    18601.260000       0.012401
    18607.630000       0.010549
    18614.000000       0.000000
